"QuestionID","DataValueType","DataValueUnit"
"TOB10_0","Number","pack sales"
"TOB11_1","Crude Prevalence","%"
"TOB11_1","Age-adjusted Prevalence","%"
"TOB11_2","Crude Prevalence","%"
"TOB11_2","Age-adjusted Prevalence","%"
"TOB1_1","Crude Prevalence","%"
"TOB1_2","Crude Prevalence","%"
"TOB1_2","Age-adjusted Prevalence","%"
"TOB1_3","Crude Prevalence","%"
"TOB1_4","Crude Prevalence","%"
"TOB2_1","Crude Prevalence","%"
"TOB2_2","Crude Prevalence","%"
"TOB2_2","Age-adjusted Prevalence","%"
"TOB3_0","Crude Prevalence","%"
"TOB3_0","Age-adjusted Prevalence","%"
"TOB4_0","Yes/No",""
"TOB5_0","Yes/No",""
"TOB6_0","Percent","%"
"TOB7_0","Yes/No",""
"TOB8_0","Percent","%"
"TOB9_0","Percent","%"
