"questionid","datavaluetype","datavalueunit"
"ART1_1","Crude Prevalence","%"
"ART1_1","Age-adjusted Prevalence","%"
"ART1_2","Crude Prevalence","%"
"ART1_2","Age-adjusted Prevalence","%"
"ART1_3","Crude Prevalence","%"
"ART1_3","Age-adjusted Prevalence","%"
"ART1_4","Age-adjusted Prevalence","%"
"ART1_4","Crude Prevalence","%"
"ART2_0","Crude Prevalence","%"
"ART2_0","Age-adjusted Prevalence","%"
"ART3_0","Crude Prevalence","%"
"ART3_0","Age-adjusted Prevalence","%"
"ART4_0","Crude Prevalence","%"
"ART4_0","Age-adjusted Prevalence","%"
"ART5_0","Crude Prevalence","%"
"ART5_0","Age-adjusted Prevalence","%"
