"questionid","datavaluetype","datavalueunit"
"AST1_1","Crude Prevalence","%"
"AST1_1","Age-adjusted Prevalence","%"
"AST1_2","Crude Prevalence","%"
"AST2_1","Number",""
"AST2_1","Age-adjusted Rate","cases per 10,000"
"AST2_1","Crude Rate","cases per 10,000"
"AST3_1","Number",""
"AST3_1","Age-adjusted Rate","cases per 100,000"
"AST3_1","Crude Rate","cases per 100,000"
"AST3_1","Crude Rate","cases per 10,000"
"AST3_1","Age-adjusted Rate","cases per 10,000"
"AST4_1","Number",""
"AST4_1","Crude Rate","cases per 1,000,000"
"AST4_1","Age-adjusted Rate","cases per 1,000,000"
"AST5_1","Crude Prevalence","%"
"AST5_1","Age-adjusted Prevalence","%"
"AST5_2","Crude Prevalence","%"
"AST5_2","Age-adjusted Prevalence","%"
"AST6_1","Crude Prevalence","%"
"AST6_1","Age-adjusted Prevalence","%"
"AST6_2","Crude Prevalence","%"
"AST6_2","Age-adjusted Prevalence","%"
