"questionid","datavaluetype","datavalueunit"
"CAN10_1","Average Annual Age-adjusted Rate","per 100,000"
"CAN10_1","Average Annual Crude Rate","per 100,000"
"CAN10_1","Average Annual Number",""
"CAN10_2","Average Annual Number",""
"CAN10_2","Average Annual Age-adjusted Rate","per 100,000"
"CAN10_2","Average Annual Crude Rate","per 100,000"
"CAN11_1","Average Annual Age-adjusted Rate","per 100,000"
"CAN11_1","Average Annual Number",""
"CAN11_1","Average Annual Crude Rate","per 100,000"
"CAN11_2","Average Annual Age-adjusted Rate","per 100,000"
"CAN11_2","Average Annual Crude Rate","per 100,000"
"CAN11_2","Average Annual Number",""
"CAN1_0","Crude Prevalence","%"
"CAN1_0","Age-adjusted Prevalence","%"
"CAN2_1","Crude Prevalence","%"
"CAN2_1","Age-adjusted Prevalence","%"
"CAN2_1","Age-adjusted Prevalence","Number"
"CAN2_2","Crude Prevalence","%"
"CAN3_0","Crude Prevalence","%"
"CAN3_0","Age-adjusted Prevalence","%"
"CAN4_1","Average Annual Age-adjusted Rate","per 100,000"
"CAN4_1","Average Annual Crude Rate","per 100,000"
"CAN4_1","Average Annual Number",""
"CAN4_2","Average Annual Number",""
"CAN4_2","Average Annual Age-adjusted Rate","per 100,000"
"CAN4_2","Average Annual Crude Rate","per 100,000"
"CAN5_1","Average Annual Age-adjusted Rate","per 100,000"
"CAN5_1","Average Annual Crude Rate","per 100,000"
"CAN5_1","Average Annual Number",""
"CAN5_2","Average Annual Number",""
"CAN5_2","Average Annual Age-adjusted Rate","per 100,000"
"CAN5_2","Average Annual Crude Rate","per 100,000"
"CAN6_1","Average Annual Age-adjusted Rate","per 100,000"
"CAN6_1","Average Annual Crude Rate","per 100,000"
"CAN6_1","Average Annual Number",""
"CAN6_2","Average Annual Number",""
"CAN6_2","Average Annual Age-adjusted Rate","per 100,000"
"CAN6_2","Average Annual Crude Rate","per 100,000"
"CAN7_1","Average Annual Age-adjusted Rate","per 100,000"
"CAN7_1","Average Annual Crude Rate","per 100,000"
"CAN7_1","Average Annual Number",""
"CAN7_2","Average Annual Age-adjusted Rate","per 100,000"
"CAN7_2","Average Annual Crude Rate","per 100,000"
"CAN7_2","Average Annual Number",""
"CAN8_1","Average Annual Number",""
"CAN8_1","Average Annual Age-adjusted Rate","per 100,000"
"CAN8_1","Average Annual Crude Rate","per 100,000"
"CAN8_2","Average Annual Number",""
"CAN8_2","Average Annual Age-adjusted Rate","per 100,000"
"CAN8_2","Average Annual Crude Rate","per 100,000"
"CAN9_1","Average Annual Age-adjusted Rate","per 100,000"
"CAN9_1","Average Annual Crude Rate","per 100,000"
"CAN9_1","Average Annual Number",""
"CAN9_2","Average Annual Number",""
"CAN9_2","Average Annual Age-adjusted Rate","per 100,000"
"CAN9_2","Average Annual Crude Rate","per 100,000"
