"questionid","datavaluetype","datavalueunit"
"COPD1_1","Number",""
"COPD1_1","Crude Rate","cases per 100,000"
"COPD1_1","Age-adjusted Rate","cases per 100,000"
"COPD1_2","Number",""
"COPD1_2","Crude Rate","cases per 100,000"
"COPD1_2","Age-adjusted Rate","cases per 100,000"
"COPD2_0","Crude Prevalence","%"
"COPD2_0","Age-adjusted Prevalence","%"
"COPD2_0_1","Age-adjusted Prevalence","%"
"COPD2_0_1","Crude Prevalence","%"
"COPD3_0","Crude Prevalence","%"
"COPD3_0","Age-adjusted Prevalence","%"
"COPD3_0_1","Age-adjusted Prevalence","%"
"COPD3_0_1","Crude Prevalence","%"
"COPD4_0","Crude Prevalence","%"
"COPD4_0","Age-adjusted Prevalence","%"
"COPD4_0_1","Crude Prevalence","%"
"COPD4_0_1","Age-adjusted Prevalence","%"
"COPD5_1","Number",""
"COPD5_1","Crude Rate","cases per 1,000"
"COPD5_1","Age-adjusted Rate","cases per 1,000"
"COPD5_2","Age-adjusted Rate","cases per 1,000"
"COPD5_2","Number",""
"COPD5_2","Crude Rate","cases per 1,000"
"COPD5_3","Age-adjusted Rate","cases per 1,000"
"COPD5_3","Crude Rate","cases per 1,000"
"COPD5_3","Number",""
"COPD5_4","Age-adjusted Rate","cases per 1,000"
"COPD5_4","Crude Rate","cases per 1,000"
"COPD5_4","Number",""
"COPD6_1","Age-adjusted Rate","cases per 10,000"
"COPD6_1","Crude Rate","cases per 10,000"
"COPD6_1","Number",""
"COPD6_2","Number",""
"COPD6_2","Age-adjusted Rate","cases per 10,000"
"COPD6_2","Crude Rate","cases per 10,000"
"COPD7_0","Crude Prevalence","%"
"COPD7_0","Age-adjusted Prevalence","%"
"COPD8_0","Crude Prevalence","%"
"COPD8_0","Age-adjusted Prevalence","%"
