"questionid","datavaluetype","datavalueunit"
"CVD10_1","Crude Prevalence","%"
"CVD10_1","Age-adjusted Prevalence","%"
"CVD10_2","Crude Prevalence","%"
"CVD10_2","Age-adjusted Prevalence","%"
"CVD1_1","Number",""
"CVD1_1","Crude Rate","cases per 100,000"
"CVD1_1","Age-adjusted Rate","cases per 100,000"
"CVD1_2","Number",""
"CVD1_2","Crude Rate","cases per 100,000"
"CVD1_2","Age-adjusted Rate","cases per 100,000"
"CVD1_3","Number",""
"CVD1_3","Crude Rate","cases per 100,000"
"CVD1_3","Age-adjusted Rate","cases per 100,000"
"CVD1_4","Number",""
"CVD1_4","Crude Rate","cases per 100,000"
"CVD1_4","Age-adjusted Rate","cases per 100,000"
"CVD1_5","Number",""
"CVD1_5","Crude Rate","cases per 100,000"
"CVD1_5","Age-adjusted Rate","cases per 100,000"
"CVD2_0","Number",""
"CVD2_0","Crude Rate","cases per 1,000"
"CVD2_0","Age-adjusted Rate","cases per 1,000"
"CVD3_1","Number",""
"CVD3_1","Crude Rate","cases per 1,000"
"CVD3_1","Age-adjusted Rate","cases per 1,000"
"CVD3_2","Age-adjusted Rate","cases per 1,000"
"CVD3_2","Crude Rate","cases per 1,000"
"CVD3_2","Number",""
"CVD4_0","Crude Prevalence","%"
"CVD4_0","Age-adjusted Prevalence","%"
"CVD5_0","Crude Prevalence","%"
"CVD5_0","Age-adjusted Prevalence","%"
"CVD6_1","Crude Prevalence","%"
"CVD6_1","Age-adjusted Prevalence","%"
"CVD6_2","Crude Prevalence","%"
"CVD7_0","Crude Prevalence","%"
"CVD7_0","Age-adjusted Prevalence","%"
"CVD8_0","Crude Prevalence","%"
"CVD9_1","Crude Prevalence","%"
"CVD9_1","Age-adjusted Prevalence","%"
"CVD9_2","Crude Prevalence","%"
"CVD9_2","Age-adjusted Prevalence","%"
