"questionid","datavaluetype","datavalueunit"
"DIA10_0","Crude Prevalence","%"
"DIA10_0","Age-adjusted Prevalence","%"
"DIA11_1","Age-adjusted Prevalence","%"
"DIA11_1","Crude Prevalence","%"
"DIA11_2","Crude Prevalence","%"
"DIA11_2","Age-adjusted Prevalence","%"
"DIA11_3","Crude Prevalence","%"
"DIA11_3","Age-adjusted Prevalence","%"
"DIA12_1","Crude Prevalence","%"
"DIA12_1","Age-adjusted Prevalence","%"
"DIA12_2","Crude Prevalence","%"
"DIA12_2","Age-adjusted Prevalence","%"
"DIA13_1","Crude Prevalence","%"
"DIA13_1","Age-adjusted Prevalence","%"
"DIA13_2","Crude Prevalence","%"
"DIA13_2","Age-adjusted Prevalence","%"
"DIA1_1","Crude Rate","cases per 100,000"
"DIA1_1","Number",""
"DIA1_1","Age-adjusted Rate","cases per 100,000"
"DIA1_2","Number",""
"DIA1_2","Crude Rate","cases per 100,000"
"DIA1_2","Age-adjusted Rate","cases per 100,000"
"DIA2_1","Crude Prevalence","%"
"DIA2_1","Age-adjusted Prevalence","%"
"DIA2_2","Crude Prevalence","%"
"DIA3_1","Crude Prevalence","%"
"DIA3_2","Prevalence","%"
"DIA4_0","Number",""
"DIA4_0","Crude Rate","cases per 10,000"
"DIA4_0","Age-adjusted Rate","cases per 10,000"
"DIA5_0","Crude Prevalence","%"
"DIA5_0","Age-adjusted Prevalence","%"
"DIA6_0","Crude Prevalence","%"
"DIA6_0","Age-adjusted Prevalence","%"
"DIA7_0","Age-adjusted Prevalence","%"
"DIA7_0","Crude Prevalence","%"
"DIA8_0","Crude Prevalence","%"
"DIA8_0","Age-adjusted Prevalence","%"
"DIA9_0","Number",""
"DIA9_0","Age-adjusted Rate","cases per 1,000"
"DIA9_0","Crude Rate","cases per 1,000"
