"questionid","Total_Records_DataValue","Total_Records_DataValueAlt","Null_Records_DataValue","Null_Records_DataValueAlt"
"CAN10_1",156,156,3,3
"CAN10_2",156,156,0,0
"CAN11_1",156,156,3,3
"CAN11_2",156,156,0,0
"CAN1_0",1410,1410,873,873
"CAN2_1",1410,1410,804,804
"CAN2_2",705,705,443,443
"CAN3_0",980,980,150,150
"CAN4_1",156,156,3,3
"CAN4_2",156,156,0,0
"CAN5_1",156,156,3,3
"CAN5_2",156,156,0,0
"CAN6_1",156,156,3,3
"CAN6_2",156,156,0,0
"CAN7_1",156,156,3,3
"CAN7_2",156,156,0,0
"CAN8_1",156,156,3,3
"CAN8_2",156,156,0,0
"CAN9_1",156,156,3,3
"CAN9_2",156,156,0,0
