"questionid","Total_Records_DataValue","Total_Records_DataValueAlt","Null_Records_DataValue","Null_Records_DataValueAlt"
"COPD1_1",6135,6135,1971,1971
"COPD1_2",6135,6135,1476,1476
"COPD2_0",1850,1850,497,497
"COPD2_0_1",1850,1850,528,528
"COPD3_0",1850,1850,764,764
"COPD3_0_1",1850,1850,796,796
"COPD4_0",1850,1850,742,742
"COPD4_0_1",1850,1850,763,763
"COPD5_1",1242,1242,576,576
"COPD5_2",1242,1242,540,540
"COPD5_3",468,468,0,0
"COPD5_4",468,468,0,0
"COPD6_1",1107,1107,696,696
"COPD6_2",1107,1107,690,690
"COPD7_0",1850,1850,771,771
"COPD8_0",1850,1850,776,776
