"questionid","Total_Records_DataValue","Total_Records_DataValueAlt","Null_Records_DataValue","Null_Records_DataValueAlt"
"CVD10_1",1850,1850,859,859
"CVD10_2",1850,1850,838,838
"CVD1_1",6135,6135,735,735
"CVD1_2",6135,6135,891,891
"CVD1_3",6135,6135,1182,1182
"CVD1_4",6136,6136,1311,1311
"CVD1_5",6135,6135,1560,1560
"CVD2_0",468,468,0,0
"CVD3_1",1242,1242,561,561
"CVD3_2",1242,1242,570,570
"CVD4_0",980,980,62,62
"CVD5_0",980,980,88,88
"CVD6_1",980,980,68,68
"CVD6_2",380,380,150,150
"CVD7_0",980,980,174,174
"CVD8_0",55,55,46,46
"CVD9_1",1850,1850,783,783
"CVD9_2",1850,1850,792,792
