"questionid","Total_Records_DataValue","Total_Records_DataValueAlt","Null_Records_DataValue","Null_Records_DataValueAlt"
"DIA10_0",1850,1850,1083,1083
"DIA11_1",980,980,311,311
"DIA11_2",980,980,296,296
"DIA11_3",1850,1850,681,681
"DIA12_1",1850,1850,708,708
"DIA12_2",1850,1850,752,752
"DIA13_1",1850,1850,728,728
"DIA13_2",1850,1850,768,768
"DIA1_1",6135,6135,1137,1137
"DIA1_2",6135,6135,3921,3921
"DIA2_1",1850,1850,319,319
"DIA2_2",705,705,382,382
"DIA3_1",55,55,32,32
"DIA3_2",52,52,0,0
"DIA4_0",1242,1242,621,621
"DIA5_0",1850,1850,1084,1084
"DIA6_0",1850,1850,1096,1096
"DIA7_0",1850,1850,1082,1082
"DIA8_0",1200,1200,321,321
"DIA9_0",1242,1242,531,531
