"yearstart","yearend","locationabbr","locationdesc","datasource","topic","question","response","datavalueunit","datavaluetypeid","datavaluetype","datavalue","datavaluealt","datavaluefootnotesymbol","datavaluefootnote","lowconfidencelimit","highconfidencelimit","stratificationcategory1","stratification1","stratificationcategory2","stratification2","stratificationcategory3","stratification3","geolocation","topicid","questionid","responseid","locationid","stratificationcategoryid1","stratificationid1","stratificationcategoryid2","stratificationid2","stratificationcategoryid3","stratificationid3"
2008,2012,"VT","Vermont","Death certificate","Cancer","Melanoma, mortality",NA,"","AvgAnnNmbr","Average Annual Number","23",23,"","",NA,NA,"Overall","Overall",NA,NA,NA,NA,"POINT(-72.51764079099962 43.62538123900049)","CAN","CAN9_2",NA,"50","OVERALL","OVR",NA,NA,NA,NA
2013,2013,"AZ","Arizona","BRFSS","Cancer","Mammography use among women aged 50-74 years",NA,"%","CrdPrev","Crude Prevalence","",NA,"-","No data available",NA,NA,"Overall","Overall",NA,NA,NA,NA,"POINT(-111.76381127699972 34.865970280000454)","CAN","CAN1_0",NA,"04","OVERALL","OVR",NA,NA,NA,NA
2013,2013,"AZ","Arizona","BRFSS","Cancer","Mammography use among women aged 50-74 years",NA,"%","AgeAdjPrev","Age-adjusted Prevalence","",NA,"-","No data available",NA,NA,"Overall","Overall",NA,NA,NA,NA,"POINT(-111.76381127699972 34.865970280000454)","CAN","CAN1_0",NA,"04","OVERALL","OVR",NA,NA,NA,NA
2013,2013,"TX","Texas","BRFSS","Cancer","Mammography use among women aged 50-74 years",NA,"%","CrdPrev","Crude Prevalence","",NA,"-","No data available",NA,NA,"Overall","Overall",NA,NA,NA,NA,"POINT(-99.42677020599967 31.827240407000488)","CAN","CAN1_0",NA,"48","OVERALL","OVR",NA,NA,NA,NA
2012,2012,"AZ","Arizona","BRFSS","Cancer","Mammography use among women aged 50-74 years",NA,"%","CrdPrev","Crude Prevalence","80.3",80.3,"","",77.2,83.3,"Overall","Overall",NA,NA,NA,NA,"POINT(-111.76381127699972 34.865970280000454)","CAN","CAN1_0",NA,"04","OVERALL","OVR",NA,NA,NA,NA
2013,2013,"CA","California","BRFSS","Cancer","Mammography use among women aged 50-74 years",NA,"%","CrdPrev","Crude Prevalence","",NA,"-","No data available",NA,NA,"Overall","Overall",NA,NA,NA,NA,"POINT(-120.99999953799971 37.63864012300047)","CAN","CAN1_0",NA,"06","OVERALL","OVR",NA,NA,NA,NA
2013,2013,"CA","California","BRFSS","Cancer","Mammography use among women aged 50-74 years",NA,"%","AgeAdjPrev","Age-adjusted Prevalence","",NA,"-","No data available",NA,NA,"Overall","Overall",NA,NA,NA,NA,"POINT(-120.99999953799971 37.63864012300047)","CAN","CAN1_0",NA,"06","OVERALL","OVR",NA,NA,NA,NA
2012,2012,"CA","California","BRFSS","Cancer","Mammography use among women aged 50-74 years",NA,"%","CrdPrev","Crude Prevalence","86.9",86.9,"","",85.1,88.6,"Overall","Overall",NA,NA,NA,NA,"POINT(-120.99999953799971 37.63864012300047)","CAN","CAN1_0",NA,"06","OVERALL","OVR",NA,NA,NA,NA
2013,2013,"CO","Colorado","BRFSS","Cancer","Mammography use among women aged 50-74 years",NA,"%","CrdPrev","Crude Prevalence","",NA,"-","No data available",NA,NA,"Overall","Overall",NA,NA,NA,NA,"POINT(-106.13361092099967 38.843840757000464)","CAN","CAN1_0",NA,"08","OVERALL","OVR",NA,NA,NA,NA
2013,2013,"CO","Colorado","BRFSS","Cancer","Mammography use among women aged 50-74 years",NA,"%","AgeAdjPrev","Age-adjusted Prevalence","",NA,"-","No data available",NA,NA,"Overall","Overall",NA,NA,NA,NA,"POINT(-106.13361092099967 38.843840757000464)","CAN","CAN1_0",NA,"08","OVERALL","OVR",NA,NA,NA,NA
