"yearstart","yearend","locationabbr","locationdesc","datasource","topic","question","response","datavalueunit","datavaluetypeid","datavaluetype","datavalue","datavaluealt","datavaluefootnotesymbol","datavaluefootnote","lowconfidencelimit","highconfidencelimit","stratificationcategory1","stratification1","stratificationcategory2","stratification2","stratificationcategory3","stratification3","geolocation","topicid","questionid","responseid","locationid","stratificationcategoryid1","stratificationid1","stratificationcategoryid2","stratificationid2","stratificationcategoryid3","stratificationid3"
2011,2011,"MA","Massachusetts","United States Renal Data System","Chronic Kidney Disease","Incidence of treated end-stage renal disease",NA,"","Nmbr","Number","1790",1790,"","",NA,NA,"Overall","Overall",NA,NA,NA,NA,"POINT(-72.08269067499964 42.27687047000046)","CKD","CKD2_1",NA,"25","OVERALL","OVR",NA,NA,NA,NA
2011,2011,"AK","Alaska","United States Renal Data System","Chronic Kidney Disease","Incidence of treated end-stage renal disease",NA,"cases per 1,000,000","AgeAdjRate","Age-adjusted Rate","225.9",225.9,"","",NA,NA,"Overall","Overall",NA,NA,NA,NA,"POINT(-147.72205903599973 64.84507995700051)","CKD","CKD2_1",NA,"02","OVERALL","OVR",NA,NA,NA,NA
2011,2011,"AK","Alaska","United States Renal Data System","Chronic Kidney Disease","Incidence of treated end-stage renal disease",NA,"","Nmbr","Number","139",139,"","",NA,NA,"Overall","Overall",NA,NA,NA,NA,"POINT(-147.72205903599973 64.84507995700051)","CKD","CKD2_1",NA,"02","OVERALL","OVR",NA,NA,NA,NA
2011,2011,"AL","Alabama","United States Renal Data System","Chronic Kidney Disease","Incidence of treated end-stage renal disease",NA,"cases per 1,000,000","AgeAdjRate","Age-adjusted Rate","317.4",317.4,"","",NA,NA,"Overall","Overall",NA,NA,NA,NA,"POINT(-86.63186076199969 32.84057112200048)","CKD","CKD2_1",NA,"01","OVERALL","OVR",NA,NA,NA,NA
2011,2011,"AL","Alabama","United States Renal Data System","Chronic Kidney Disease","Incidence of treated end-stage renal disease",NA,"","Nmbr","Number","2116",2116,"","",NA,NA,"Overall","Overall",NA,NA,NA,NA,"POINT(-86.63186076199969 32.84057112200048)","CKD","CKD2_1",NA,"01","OVERALL","OVR",NA,NA,NA,NA
2011,2011,"AR","Arkansas","United States Renal Data System","Chronic Kidney Disease","Incidence of treated end-stage renal disease",NA,"cases per 1,000,000","AgeAdjRate","Age-adjusted Rate","331.8",331.8,"","",NA,NA,"Overall","Overall",NA,NA,NA,NA,"POINT(-92.27449074299966 34.74865012400045)","CKD","CKD2_1",NA,"05","OVERALL","OVR",NA,NA,NA,NA
2011,2011,"AR","Arkansas","United States Renal Data System","Chronic Kidney Disease","Incidence of treated end-stage renal disease",NA,"","Nmbr","Number","1073",1073,"","",NA,NA,"Overall","Overall",NA,NA,NA,NA,"POINT(-92.27449074299966 34.74865012400045)","CKD","CKD2_1",NA,"05","OVERALL","OVR",NA,NA,NA,NA
2011,2011,"AZ","Arizona","United States Renal Data System","Chronic Kidney Disease","Incidence of treated end-stage renal disease",NA,"cases per 1,000,000","AgeAdjRate","Age-adjusted Rate","359.7",359.7,"","",NA,NA,"Overall","Overall",NA,NA,NA,NA,"POINT(-111.76381127699972 34.865970280000454)","CKD","CKD2_1",NA,"04","OVERALL","OVR",NA,NA,NA,NA
2011,2011,"AZ","Arizona","United States Renal Data System","Chronic Kidney Disease","Incidence of treated end-stage renal disease",NA,"","Nmbr","Number","2290",2290,"","",NA,NA,"Overall","Overall",NA,NA,NA,NA,"POINT(-111.76381127699972 34.865970280000454)","CKD","CKD2_1",NA,"04","OVERALL","OVR",NA,NA,NA,NA
2011,2011,"CA","California","United States Renal Data System","Chronic Kidney Disease","Incidence of treated end-stage renal disease",NA,"cases per 1,000,000","AgeAdjRate","Age-adjusted Rate","396.8",396.8,"","",NA,NA,"Overall","Overall",NA,NA,NA,NA,"POINT(-120.99999953799971 37.63864012300047)","CKD","CKD2_1",NA,"06","OVERALL","OVR",NA,NA,NA,NA
2011,2011,"CA","California","United States Renal Data System","Chronic Kidney Disease","Incidence of treated end-stage renal disease",NA,"","Nmbr","Number","14331",14331,"","",NA,NA,"Overall","Overall",NA,NA,NA,NA,"POINT(-120.99999953799971 37.63864012300047)","CKD","CKD2_1",NA,"06","OVERALL","OVR",NA,NA,NA,NA
2011,2011,"CO","Colorado","United States Renal Data System","Chronic Kidney Disease","Incidence of treated end-stage renal disease",NA,"cases per 1,000,000","AgeAdjRate","Age-adjusted Rate","206.8",206.8,"","",NA,NA,"Overall","Overall",NA,NA,NA,NA,"POINT(-106.13361092099967 38.843840757000464)","CKD","CKD2_1",NA,"08","OVERALL","OVR",NA,NA,NA,NA
2011,2011,"CO","Colorado","United States Renal Data System","Chronic Kidney Disease","Incidence of treated end-stage renal disease",NA,"","Nmbr","Number","907",907,"","",NA,NA,"Overall","Overall",NA,NA,NA,NA,"POINT(-106.13361092099967 38.843840757000464)","CKD","CKD2_1",NA,"08","OVERALL","OVR",NA,NA,NA,NA
