"YearStart","YearEnd","LocationAbbr","LocationDesc","DataSource","Topic","Question","Response","DataValueUnit","DataValueTypeID","DataValueType","DataValue","DataValueAlt","DataValueFootnoteSymbol","DatavalueFootnote","LowConfidenceLimit","HighConfidenceLimit","StratificationCategory1","Stratification1","StratificationCategory2","Stratification2","StratificationCategory3","Stratification3","GeoLocation","TopicID","QuestionID","ResponseID","LocationID","StratificationCategoryID1","StratificationID1","StratificationCategoryID2","StratificationID2","StratificationCategoryID3","StratificationID3"
2014,2014,"AK","Alaska","BRFSS","Immunization","Influenza vaccination among noninstitutionalized adults aged >= 18 years",NA,"%","CrdPrev","Crude Prevalence","34.4",34.4,"","",32.5,36.4,"Overall","Overall",NA,NA,NA,NA,"(64.84507995700051, -147.72205903599973)","IMM","IMM1_0",NA,"02","OVERALL","OVR",NA,NA,NA,NA
2014,2014,"AK","Alaska","BRFSS","Immunization","Influenza vaccination among noninstitutionalized adults aged >= 18 years",NA,"%","AgeAdjPrev","Age-adjusted Prevalence","35",35,"","",33.1,37,"Overall","Overall",NA,NA,NA,NA,"(64.84507995700051, -147.72205903599973)","IMM","IMM1_0",NA,"02","OVERALL","OVR",NA,NA,NA,NA
2014,2014,"AK","Alaska","BRFSS","Immunization","Influenza vaccination among noninstitutionalized adults aged >= 18 years",NA,"%","CrdPrev","Crude Prevalence","32.4",32.4,"","",29.6,35.3,"Gender","Male",NA,NA,NA,NA,"(64.84507995700051, -147.72205903599973)","IMM","IMM1_0",NA,"02","GENDER","GENM",NA,NA,NA,NA
2014,2014,"AK","Alaska","BRFSS","Immunization","Influenza vaccination among noninstitutionalized adults aged >= 18 years",NA,"%","AgeAdjPrev","Age-adjusted Prevalence","33.1",33.1,"","",30.3,36.1,"Gender","Male",NA,NA,NA,NA,"(64.84507995700051, -147.72205903599973)","IMM","IMM1_0",NA,"02","GENDER","GENM",NA,NA,NA,NA
2014,2014,"AK","Alaska","BRFSS","Immunization","Influenza vaccination among noninstitutionalized adults aged >= 18 years",NA,"%","CrdPrev","Crude Prevalence","36.6",36.6,"","",34,39.4,"Gender","Female",NA,NA,NA,NA,"(64.84507995700051, -147.72205903599973)","IMM","IMM1_0",NA,"02","GENDER","GENF",NA,NA,NA,NA
2014,2014,"AK","Alaska","BRFSS","Immunization","Influenza vaccination among noninstitutionalized adults aged >= 18 years",NA,"%","AgeAdjPrev","Age-adjusted Prevalence","37",37,"","",34.4,39.7,"Gender","Female",NA,NA,NA,NA,"(64.84507995700051, -147.72205903599973)","IMM","IMM1_0",NA,"02","GENDER","GENF",NA,NA,NA,NA
2014,2014,"AK","Alaska","BRFSS","Immunization","Influenza vaccination among noninstitutionalized adults aged >= 18 years",NA,"%","CrdPrev","Crude Prevalence","34.6",34.6,"","",32.5,36.8,"Race/Ethnicity","White, non-Hispanic",NA,NA,NA,NA,"(64.84507995700051, -147.72205903599973)","IMM","IMM1_0",NA,"02","RACE","WHT",NA,NA,NA,NA
2014,2014,"AK","Alaska","BRFSS","Immunization","Influenza vaccination among noninstitutionalized adults aged >= 18 years",NA,"%","AgeAdjPrev","Age-adjusted Prevalence","34.4",34.4,"","",32.3,36.6,"Race/Ethnicity","White, non-Hispanic",NA,NA,NA,NA,"(64.84507995700051, -147.72205903599973)","IMM","IMM1_0",NA,"02","RACE","WHT",NA,NA,NA,NA
2014,2014,"AK","Alaska","BRFSS","Immunization","Influenza vaccination among noninstitutionalized adults aged >= 18 years",NA,"%","CrdPrev","Crude Prevalence","",NA,"****","Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%",NA,NA,"Race/Ethnicity","Black, non-Hispanic",NA,NA,NA,NA,"(64.84507995700051, -147.72205903599973)","IMM","IMM1_0",NA,"02","RACE","BLK",NA,NA,NA,NA
2014,2014,"AK","Alaska","BRFSS","Immunization","Influenza vaccination among noninstitutionalized adults aged >= 18 years",NA,"%","AgeAdjPrev","Age-adjusted Prevalence","",NA,"****","Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%",NA,NA,"Race/Ethnicity","Black, non-Hispanic",NA,NA,NA,NA,"(64.84507995700051, -147.72205903599973)","IMM","IMM1_0",NA,"02","RACE","BLK",NA,NA,NA,NA
2014,2014,"AK","Alaska","BRFSS","Immunization","Influenza vaccination among noninstitutionalized adults aged >= 18 years",NA,"%","CrdPrev","Crude Prevalence","27.5",27.5,"","",19.2,37.8,"Race/Ethnicity","Hispanic",NA,NA,NA,NA,"(64.84507995700051, -147.72205903599973)","IMM","IMM1_0",NA,"02","RACE","HIS",NA,NA,NA,NA
