"YearStart","YearEnd","LocationAbbr","LocationDesc","DataSource","Topic","Question","Response","DataValueUnit","DataValueTypeID","DataValueType","DataValue","DataValueAlt","DataValueFootnoteSymbol","DatavalueFootnote","LowConfidenceLimit","HighConfidenceLimit","StratificationCategory1","Stratification1","StratificationCategory2","Stratification2","StratificationCategory3","Stratification3","GeoLocation","TopicID","QuestionID","ResponseID","LocationID","StratificationCategoryID1","StratificationID1","StratificationCategoryID2","StratificationID2","StratificationCategoryID3","StratificationID3"
2013,2013,"GU","Guam","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","CrdMean","Crude Mean","3.4",3.4,"","",3,3.9,"Overall","Overall",NA,NA,NA,NA,"(13.444304, 144.793731)","MTH","MTH1_0",NA,"66","OVERALL","OVR",NA,NA,NA,NA
2014,2014,"AK","Alaska","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","CrdMean","Crude Mean","3.1",3.1,"","",2.7,3.4,"Overall","Overall",NA,NA,NA,NA,"(64.84507995700051, -147.72205903599973)","MTH","MTH1_0",NA,"02","OVERALL","OVR",NA,NA,NA,NA
2014,2014,"AK","Alaska","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","AgeAdjMean","Age-adjusted Mean","3",3,"","",2.7,3.3,"Overall","Overall",NA,NA,NA,NA,"(64.84507995700051, -147.72205903599973)","MTH","MTH1_0",NA,"02","OVERALL","OVR",NA,NA,NA,NA
2014,2014,"AK","Alaska","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","CrdMean","Crude Mean","2.6",2.6,"","",2.2,3.1,"Gender","Male",NA,NA,NA,NA,"(64.84507995700051, -147.72205903599973)","MTH","MTH1_0",NA,"02","GENDER","GENM",NA,NA,NA,NA
2014,2014,"AK","Alaska","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","AgeAdjMean","Age-adjusted Mean","2.5",2.5,"","",2.1,3,"Gender","Male",NA,NA,NA,NA,"(64.84507995700051, -147.72205903599973)","MTH","MTH1_0",NA,"02","GENDER","GENM",NA,NA,NA,NA
2014,2014,"AK","Alaska","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","CrdMean","Crude Mean","3.5",3.5,"","",3.1,3.9,"Gender","Female",NA,NA,NA,NA,"(64.84507995700051, -147.72205903599973)","MTH","MTH1_0",NA,"02","GENDER","GENF",NA,NA,NA,NA
2014,2014,"AK","Alaska","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","AgeAdjMean","Age-adjusted Mean","3.4",3.4,"","",3,3.8,"Gender","Female",NA,NA,NA,NA,"(64.84507995700051, -147.72205903599973)","MTH","MTH1_0",NA,"02","GENDER","GENF",NA,NA,NA,NA
2014,2014,"AK","Alaska","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","CrdMean","Crude Mean","2.9",2.9,"","",2.6,3.2,"Race/Ethnicity","White, non-Hispanic",NA,NA,NA,NA,"(64.84507995700051, -147.72205903599973)","MTH","MTH1_0",NA,"02","RACE","WHT",NA,NA,NA,NA
2014,2014,"AK","Alaska","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","AgeAdjMean","Age-adjusted Mean","2.8",2.8,"","",2.5,3.2,"Race/Ethnicity","White, non-Hispanic",NA,NA,NA,NA,"(64.84507995700051, -147.72205903599973)","MTH","MTH1_0",NA,"02","RACE","WHT",NA,NA,NA,NA
2014,2014,"AK","Alaska","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","CrdMean","Crude Mean","",NA,"****","Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%",NA,NA,"Race/Ethnicity","Black, non-Hispanic",NA,NA,NA,NA,"(64.84507995700051, -147.72205903599973)","MTH","MTH1_0",NA,"02","RACE","BLK",NA,NA,NA,NA
2014,2014,"AK","Alaska","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","AgeAdjMean","Age-adjusted Mean","3.6",3.6,"","",1.6,5.7,"Race/Ethnicity","Black, non-Hispanic",NA,NA,NA,NA,"(64.84507995700051, -147.72205903599973)","MTH","MTH1_0",NA,"02","RACE","BLK",NA,NA,NA,NA
2014,2014,"AK","Alaska","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","CrdMean","Crude Mean","4.4",4.4,"","",2.6,6.2,"Race/Ethnicity","Hispanic",NA,NA,NA,NA,"(64.84507995700051, -147.72205903599973)","MTH","MTH1_0",NA,"02","RACE","HIS",NA,NA,NA,NA
2014,2014,"AK","Alaska","BRFSS","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years",NA,"Number","AgeAdjMean","Age-adjusted Mean","4.6",4.6,"","",2.6,6.7,"Race/Ethnicity","Hispanic",NA,NA,NA,NA,"(64.84507995700051, -147.72205903599973)","MTH","MTH1_0",NA,"02","RACE","HIS",NA,NA,NA,NA
