"YearStart","YearEnd","LocationAbbr","LocationDesc","DataSource","Topic","Question","Response","DataValueUnit","DataValueTypeID","DataValueType","DataValue","DataValueAlt","DataValueFootnoteSymbol","DatavalueFootnote","LowConfidenceLimit","HighConfidenceLimit","StratificationCategory1","Stratification1","StratificationCategory2","Stratification2","StratificationCategory3","Stratification3","GeoLocation","TopicID","QuestionID","ResponseID","LocationID","StratificationCategoryID1","StratificationID1","StratificationCategoryID2","StratificationID2","StratificationCategoryID3","StratificationID3"
2010,2010,"CT","Connecticut","CMS Part A Claims Data","Older Adults","Hospitalization for hip fracture among Medicare-eligible persons aged >= 65 years",NA,"","Nmbr","Number","2380",2380,"","",NA,NA,"Gender","Female",NA,NA,NA,NA,"(41.56266102000046, -72.64984095199964)","OLD","OLD1_0",NA,"09","GENDER","GENF",NA,NA,NA,NA
2010,2010,"CT","Connecticut","CMS Part A Claims Data","Older Adults","Hospitalization for hip fracture among Medicare-eligible persons aged >= 65 years",NA,"","Nmbr","Number","836",836,"","",NA,NA,"Gender","Male",NA,NA,NA,NA,"(41.56266102000046, -72.64984095199964)","OLD","OLD1_0",NA,"09","GENDER","GENM",NA,NA,NA,NA
2010,2010,"AL","Alabama","CMS Part A Claims Data","Older Adults","Hospitalization for hip fracture among Medicare-eligible persons aged >= 65 years",NA,"","Nmbr","Number","4408",4408,"","",NA,NA,"Overall","Overall",NA,NA,NA,NA,"(32.84057112200048, -86.63186076199969)","OLD","OLD1_0",NA,"01","OVERALL","OVR",NA,NA,NA,NA
2010,2010,"AK","Alaska","CMS Part A Claims Data","Older Adults","Hospitalization for hip fracture among Medicare-eligible persons aged >= 65 years",NA,"","Nmbr","Number","77",77,"","",NA,NA,"Gender","Male",NA,NA,NA,NA,"(64.84507995700051, -147.72205903599973)","OLD","OLD1_0",NA,"02","GENDER","GENM",NA,NA,NA,NA
2010,2010,"AK","Alaska","CMS Part A Claims Data","Older Adults","Hospitalization for hip fracture among Medicare-eligible persons aged >= 65 years",NA,"cases per 100,000","AgeAdjRate","Age-adjusted Rate","6.95",6.95,"","",5.88,8.02,"Gender","Female",NA,NA,NA,NA,"(64.84507995700051, -147.72205903599973)","OLD","OLD1_0",NA,"02","GENDER","GENF",NA,NA,NA,NA
2010,2010,"AK","Alaska","CMS Part A Claims Data","Older Adults","Hospitalization for hip fracture among Medicare-eligible persons aged >= 65 years",NA,"cases per 100,000","AgeAdjRate","Age-adjusted Rate","3.67",3.67,"","",2.85,4.48,"Gender","Male",NA,NA,NA,NA,"(64.84507995700051, -147.72205903599973)","OLD","OLD1_0",NA,"02","GENDER","GENM",NA,NA,NA,NA
2010,2010,"AK","Alaska","CMS Part A Claims Data","Older Adults","Hospitalization for hip fracture among Medicare-eligible persons aged >= 65 years",NA,"cases per 100,000","AgeAdjRate","Age-adjusted Rate","5.49",5.49,"","",4.79,6.18,"Overall","Overall",NA,NA,NA,NA,"(64.84507995700051, -147.72205903599973)","OLD","OLD1_0",NA,"02","OVERALL","OVR",NA,NA,NA,NA
2010,2010,"AK","Alaska","CMS Part A Claims Data","Older Adults","Hospitalization for hip fracture among Medicare-eligible persons aged >= 65 years",NA,"cases per 100,000","CrdRate","Crude Rate","6.11",6.11,"","",5.18,7.05,"Gender","Female",NA,NA,NA,NA,"(64.84507995700051, -147.72205903599973)","OLD","OLD1_0",NA,"02","GENDER","GENF",NA,NA,NA,NA
2010,2010,"AK","Alaska","CMS Part A Claims Data","Older Adults","Hospitalization for hip fracture among Medicare-eligible persons aged >= 65 years",NA,"cases per 100,000","CrdRate","Crude Rate","2.94",2.94,"","",2.29,3.6,"Gender","Male",NA,NA,NA,NA,"(64.84507995700051, -147.72205903599973)","OLD","OLD1_0",NA,"02","GENDER","GENM",NA,NA,NA,NA
2010,2010,"AK","Alaska","CMS Part A Claims Data","Older Adults","Hospitalization for hip fracture among Medicare-eligible persons aged >= 65 years",NA,"cases per 100,000","CrdRate","Crude Rate","4.54",4.54,"","",3.97,5.12,"Overall","Overall",NA,NA,NA,NA,"(64.84507995700051, -147.72205903599973)","OLD","OLD1_0",NA,"02","OVERALL","OVR",NA,NA,NA,NA
