"YearStart","YearEnd","LocationAbbr","LocationDesc","DataSource","Topic","Question","Response","DataValueUnit","DataValueTypeID","DataValueType","DataValue","DataValueAlt","DataValueFootnoteSymbol","DatavalueFootnote","LowConfidenceLimit","HighConfidenceLimit","StratificationCategory1","Stratification1","StratificationCategory2","Stratification2","StratificationCategory3","Stratification3","GeoLocation","TopicID","QuestionID","ResponseID","LocationID","StratificationCategoryID1","StratificationID1","StratificationCategoryID2","StratificationID2","StratificationCategoryID3","StratificationID3"
2009,2011,"HI","Hawaii","PRAMS","Oral Health","Preventive dental care before pregnancy",NA,"%","CrdPrev","Crude Prevalence","52.8",52.8,"","",49.6,56,"Overall","Overall",NA,NA,NA,NA,"(21.304850435000446, -157.85774940299973)","ORH","ORH2_2",NA,"15","OVERALL","OVR",NA,NA,NA,NA
2009,2011,"IA","Iowa","PRAMS","Oral Health","Preventive dental care before pregnancy",NA,"%","CrdPrev","Crude Prevalence","",NA,"-","No data available",NA,NA,"Overall","Overall",NA,NA,NA,NA,"(42.46940091300047, -93.81649055599968)","ORH","ORH2_2",NA,"19","OVERALL","OVR",NA,NA,NA,NA
2009,2011,"ID","Idaho","PRAMS","Oral Health","Preventive dental care before pregnancy",NA,"%","CrdPrev","Crude Prevalence","",NA,"-","No data available",NA,NA,"Overall","Overall",NA,NA,NA,NA,"(43.682630005000476, -114.3637300419997)","ORH","ORH2_2",NA,"16","OVERALL","OVR",NA,NA,NA,NA
2009,2011,"IL","Illinois","PRAMS","Oral Health","Preventive dental care before pregnancy",NA,"%","CrdPrev","Crude Prevalence","",NA,"-","No data available",NA,NA,"Overall","Overall",NA,NA,NA,NA,"(40.48501028300046, -88.99771017799969)","ORH","ORH2_2",NA,"17","OVERALL","OVR",NA,NA,NA,NA
2009,2011,"IN","Indiana","PRAMS","Oral Health","Preventive dental care before pregnancy",NA,"%","CrdPrev","Crude Prevalence","",NA,"-","No data available",NA,NA,"Overall","Overall",NA,NA,NA,NA,"(39.766910452000445, -86.14996019399968)","ORH","ORH2_2",NA,"18","OVERALL","OVR",NA,NA,NA,NA
2009,2011,"KS","Kansas","PRAMS","Oral Health","Preventive dental care before pregnancy",NA,"%","CrdPrev","Crude Prevalence","",NA,"-","No data available",NA,NA,"Overall","Overall",NA,NA,NA,NA,"(38.34774030000045, -98.20078122699965)","ORH","ORH2_2",NA,"20","OVERALL","OVR",NA,NA,NA,NA
2009,2011,"KY","Kentucky","PRAMS","Oral Health","Preventive dental care before pregnancy",NA,"%","CrdPrev","Crude Prevalence","",NA,"-","No data available",NA,NA,"Overall","Overall",NA,NA,NA,NA,"(31.31266064400046, -92.44568007099969)","ORH","ORH2_2",NA,"21","OVERALL","OVR",NA,NA,NA,NA
2009,2011,"LA","Louisiana","PRAMS","Oral Health","Preventive dental care before pregnancy",NA,"%","CrdPrev","Crude Prevalence","",NA,"-","No data available",NA,NA,"Overall","Overall",NA,NA,NA,NA,"(31.31266064400046, -92.44568007099969)","ORH","ORH2_2",NA,"22","OVERALL","OVR",NA,NA,NA,NA
2009,2011,"MA","Massachusetts","PRAMS","Oral Health","Preventive dental care before pregnancy",NA,"%","CrdPrev","Crude Prevalence","",NA,"-","No data available",NA,NA,"Overall","Overall",NA,NA,NA,NA,"(42.27687047000046, -72.08269067499964)","ORH","ORH2_2",NA,"25","OVERALL","OVR",NA,NA,NA,NA
2009,2011,"MD","Maryland","PRAMS","Oral Health","Preventive dental care before pregnancy",NA,"%","CrdPrev","Crude Prevalence","59.5",59.5,"","",55.4,63.4,"Overall","Overall",NA,NA,NA,NA,"(39.29058096400047, -76.60926011099963)","ORH","ORH2_2",NA,"24","OVERALL","OVR",NA,NA,NA,NA
2009,2011,"ME","Maine","PRAMS","Oral Health","Preventive dental care before pregnancy",NA,"%","CrdPrev","Crude Prevalence","56.3",56.3,"","",52.7,59.8,"Overall","Overall",NA,NA,NA,NA,"(45.254228894000505, -68.98503133599962)","ORH","ORH2_2",NA,"23","OVERALL","OVR",NA,NA,NA,NA
2009,2011,"MI","Michigan","PRAMS","Oral Health","Preventive dental care before pregnancy",NA,"%","CrdPrev","Crude Prevalence","57.7",57.7,"","",54.8,60.4,"Overall","Overall",NA,NA,NA,NA,"(44.6613195430005, -84.71439026999968)","ORH","ORH2_2",NA,"26","OVERALL","OVR",NA,NA,NA,NA
2009,2011,"MN","Minnesota","PRAMS","Oral Health","Preventive dental care before pregnancy",NA,"%","CrdPrev","Crude Prevalence","65.5",65.5,"","",62.6,68.3,"Overall","Overall",NA,NA,NA,NA,"(46.35564873600049, -94.79420050299967)","ORH","ORH2_2",NA,"27","OVERALL","OVR",NA,NA,NA,NA
2009,2011,"MO","Missouri","PRAMS","Oral Health","Preventive dental care before pregnancy",NA,"%","CrdPrev","Crude Prevalence","50.1",50.1,"","",46.9,53.2,"Overall","Overall",NA,NA,NA,NA,"(38.635790776000476, -92.56630005299968)","ORH","ORH2_2",NA,"29","OVERALL","OVR",NA,NA,NA,NA
2009,2011,"MS","Mississippi","PRAMS","Oral Health","Preventive dental care before pregnancy",NA,"%","CrdPrev","Crude Prevalence","",NA,"-","No data available",NA,NA,"Overall","Overall",NA,NA,NA,NA,"(32.745510099000455, -89.53803082499968)","ORH","ORH2_2",NA,"28","OVERALL","OVR",NA,NA,NA,NA
2009,2011,"MT","Montana","PRAMS","Oral Health","Preventive dental care before pregnancy",NA,"%","CrdPrev","Crude Prevalence","",NA,"-","No data available",NA,NA,"Overall","Overall",NA,NA,NA,NA,"(47.06652897200047, -109.42442064499971)","ORH","ORH2_2",NA,"30","OVERALL","OVR",NA,NA,NA,NA
