"YearStart","YearEnd","LocationAbbr","LocationDesc","DataSource","Topic","Question","Response","DataValueUnit","DataValueTypeID","DataValueType","DataValue","DataValueAlt","DataValueFootnoteSymbol","DatavalueFootnote","LowConfidenceLimit","HighConfidenceLimit","StratificationCategory1","Stratification1","StratificationCategory2","Stratification2","StratificationCategory3","Stratification3","GeoLocation","TopicID","QuestionID","ResponseID","LocationID","StratificationCategoryID1","StratificationID1","StratificationCategoryID2","StratificationID2","StratificationCategoryID3","StratificationID3"
2009,2011,"NJ","New Jersey","PRAMS","Reproductive Health","Postpartum checkup",NA,"%","CrdPrev","Crude Prevalence","88.8",88.8,"","",86.9,90.4,"Overall","Overall",NA,NA,NA,NA,"(40.13057004800049, -74.27369128799967)","RPH","RPH2_0",NA,"34","OVERALL","OVR",NA,NA,NA,NA
2009,2011,"NM","New Mexico","PRAMS","Reproductive Health","Postpartum checkup",NA,"%","CrdPrev","Crude Prevalence","",NA,"-","No data available",NA,NA,"Overall","Overall",NA,NA,NA,NA,"(34.52088095200048, -106.24058098499967)","RPH","RPH2_0",NA,"35","OVERALL","OVR",NA,NA,NA,NA
2009,2011,"NV","Nevada","PRAMS","Reproductive Health","Postpartum checkup",NA,"%","CrdPrev","Crude Prevalence","",NA,"-","No data available",NA,NA,"Overall","Overall",NA,NA,NA,NA,"(39.493240390000494, -117.07184056399967)","RPH","RPH2_0",NA,"32","OVERALL","OVR",NA,NA,NA,NA
2009,2011,"NY","New York","PRAMS","Reproductive Health","Postpartum checkup",NA,"%","CrdPrev","Crude Prevalence","",NA,"-","No data available",NA,NA,"Overall","Overall",NA,NA,NA,NA,"(42.82700103200045, -75.54397042699964)","RPH","RPH2_0",NA,"36","OVERALL","OVR",NA,NA,NA,NA
2009,2011,"OH","Ohio","PRAMS","Reproductive Health","Postpartum checkup",NA,"%","CrdPrev","Crude Prevalence","",NA,"-","No data available",NA,NA,"Overall","Overall",NA,NA,NA,NA,"(40.06021014100048, -82.40426005599966)","RPH","RPH2_0",NA,"39","OVERALL","OVR",NA,NA,NA,NA
2009,2011,"OK","Oklahoma","PRAMS","Reproductive Health","Postpartum checkup",NA,"%","CrdPrev","Crude Prevalence","",NA,"-","No data available",NA,NA,"Overall","Overall",NA,NA,NA,NA,"(35.47203135600046, -97.52107021399968)","RPH","RPH2_0",NA,"40","OVERALL","OVR",NA,NA,NA,NA
2009,2011,"OR","Oregon","PRAMS","Reproductive Health","Postpartum checkup",NA,"%","CrdPrev","Crude Prevalence","",NA,"-","No data available",NA,NA,"Overall","Overall",NA,NA,NA,NA,"(44.56744942400047, -120.15503132599969)","RPH","RPH2_0",NA,"41","OVERALL","OVR",NA,NA,NA,NA
2009,2011,"PA","Pennsylvania","PRAMS","Reproductive Health","Postpartum checkup",NA,"%","CrdPrev","Crude Prevalence","",NA,"-","No data available",NA,NA,"Overall","Overall",NA,NA,NA,NA,"(40.79373015200048, -77.86070029399963)","RPH","RPH2_0",NA,"42","OVERALL","OVR",NA,NA,NA,NA
2009,2011,"PR","Puerto Rico","PRAMS","Reproductive Health","Postpartum checkup",NA,"%","CrdPrev","Crude Prevalence","",NA,"-","No data available",NA,NA,"Overall","Overall",NA,NA,NA,NA,"(18.220833, -66.590149)","RPH","RPH2_0",NA,"72","OVERALL","OVR",NA,NA,NA,NA
2009,2011,"RI","Rhode Island","PRAMS","Reproductive Health","Postpartum checkup",NA,"%","CrdPrev","Crude Prevalence","93.6",93.6,"","",91.8,95,"Overall","Overall",NA,NA,NA,NA,"(41.70828019300046, -71.52247031399963)","RPH","RPH2_0",NA,"44","OVERALL","OVR",NA,NA,NA,NA
2009,2011,"SC","South Carolina","PRAMS","Reproductive Health","Postpartum checkup",NA,"%","CrdPrev","Crude Prevalence","",NA,"-","No data available",NA,NA,"Overall","Overall",NA,NA,NA,NA,"(33.998821303000454, -81.04537120699968)","RPH","RPH2_0",NA,"45","OVERALL","OVR",NA,NA,NA,NA
2009,2011,"SD","South Dakota","PRAMS","Reproductive Health","Postpartum checkup",NA,"%","CrdPrev","Crude Prevalence","",NA,"-","No data available",NA,NA,"Overall","Overall",NA,NA,NA,NA,"(44.353130053000484, -100.3735306369997)","RPH","RPH2_0",NA,"46","OVERALL","OVR",NA,NA,NA,NA
2009,2011,"TN","Tennessee","PRAMS","Reproductive Health","Postpartum checkup",NA,"%","CrdPrev","Crude Prevalence","",NA,"-","No data available",NA,NA,"Overall","Overall",NA,NA,NA,NA,"(35.68094058000048, -85.77449091399967)","RPH","RPH2_0",NA,"47","OVERALL","OVR",NA,NA,NA,NA
2009,2011,"TX","Texas","PRAMS","Reproductive Health","Postpartum checkup",NA,"%","CrdPrev","Crude Prevalence","",NA,"-","No data available",NA,NA,"Overall","Overall",NA,NA,NA,NA,"(31.827240407000488, -99.42677020599967)","RPH","RPH2_0",NA,"48","OVERALL","OVR",NA,NA,NA,NA
2009,2011,"US","United States","PRAMS","Reproductive Health","Postpartum checkup",NA,"%","CrdPrev","Crude Prevalence","",NA,"-","No data available",NA,NA,"Overall","Overall",NA,NA,NA,NA,"","RPH","RPH2_0",NA,"59","OVERALL","OVR",NA,NA,NA,NA
2009,2011,"UT","Utah","PRAMS","Reproductive Health","Postpartum checkup",NA,"%","CrdPrev","Crude Prevalence","90.5",90.5,"","",88.8,92,"Overall","Overall",NA,NA,NA,NA,"(39.360700171000474, -111.58713063499971)","RPH","RPH2_0",NA,"49","OVERALL","OVR",NA,NA,NA,NA
2009,2011,"NE","Nebraska","PRAMS","Reproductive Health","Postpartum checkup",NA,"%","CrdPrev","Crude Prevalence","",NA,"-","No data available",NA,NA,"Overall","Overall",NA,NA,NA,NA,"(41.6410409880005, -99.36572062299967)","RPH","RPH2_0",NA,"31","OVERALL","OVR",NA,NA,NA,NA
2009,2011,"NH","New Hampshire","PRAMS","Reproductive Health","Postpartum checkup",NA,"%","CrdPrev","Crude Prevalence","",NA,"-","No data available",NA,NA,"Overall","Overall",NA,NA,NA,NA,"(43.65595011300047, -71.50036091999965)","RPH","RPH2_0",NA,"33","OVERALL","OVR",NA,NA,NA,NA
2009,2011,"MO","Missouri","PRAMS","Reproductive Health","Postpartum checkup",NA,"%","CrdPrev","Crude Prevalence","91.6",91.6,"","",89.6,93.2,"Overall","Overall",NA,NA,NA,NA,"(38.635790776000476, -92.56630005299968)","RPH","RPH2_0",NA,"29","OVERALL","OVR",NA,NA,NA,NA
2009,2011,"MS","Mississippi","PRAMS","Reproductive Health","Postpartum checkup",NA,"%","CrdPrev","Crude Prevalence","",NA,"-","No data available",NA,NA,"Overall","Overall",NA,NA,NA,NA,"(32.745510099000455, -89.53803082499968)","RPH","RPH2_0",NA,"28","OVERALL","OVR",NA,NA,NA,NA
2009,2011,"MT","Montana","PRAMS","Reproductive Health","Postpartum checkup",NA,"%","CrdPrev","Crude Prevalence","",NA,"-","No data available",NA,NA,"Overall","Overall",NA,NA,NA,NA,"(47.06652897200047, -109.42442064499971)","RPH","RPH2_0",NA,"30","OVERALL","OVR",NA,NA,NA,NA
2014,2014,"AK","Alaska","BRFSS","Reproductive Health","Timeliness of routine health care checkup among women aged 18-44 years",NA,"%","CrdPrev","Crude Prevalence","53.8",53.8,"","",49.1,58.4,"Overall","Overall",NA,NA,NA,NA,"(64.84507995700051, -147.72205903599973)","RPH","RPH1_0",NA,"02","OVERALL","OVR",NA,NA,NA,NA
2014,2014,"AK","Alaska","BRFSS","Reproductive Health","Timeliness of routine health care checkup among women aged 18-44 years",NA,"%","CrdPrev","Crude Prevalence","55.8",55.8,"","",50.3,61.3,"Race/Ethnicity","White, non-Hispanic",NA,NA,NA,NA,"(64.84507995700051, -147.72205903599973)","RPH","RPH1_0",NA,"02","RACE","WHT",NA,NA,NA,NA
2014,2014,"AK","Alaska","BRFSS","Reproductive Health","Timeliness of routine health care checkup among women aged 18-44 years",NA,"%","CrdPrev","Crude Prevalence","",NA,"****","Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%",NA,NA,"Race/Ethnicity","Black, non-Hispanic",NA,NA,NA,NA,"(64.84507995700051, -147.72205903599973)","RPH","RPH1_0",NA,"02","RACE","BLK",NA,NA,NA,NA
2014,2014,"AK","Alaska","BRFSS","Reproductive Health","Timeliness of routine health care checkup among women aged 18-44 years",NA,"%","CrdPrev","Crude Prevalence","",NA,"****","Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%",NA,NA,"Race/Ethnicity","Hispanic",NA,NA,NA,NA,"(64.84507995700051, -147.72205903599973)","RPH","RPH1_0",NA,"02","RACE","HIS",NA,NA,NA,NA
2014,2014,"AK","Alaska","BRFSS","Reproductive Health","Timeliness of routine health care checkup among women aged 18-44 years",NA,"%","CrdPrev","Crude Prevalence","49.6",49.6,"","",39.5,59.8,"Race/Ethnicity","Other, non-Hispanic",NA,NA,NA,NA,"(64.84507995700051, -147.72205903599973)","RPH","RPH1_0",NA,"02","RACE","OTH",NA,NA,NA,NA
2014,2014,"AK","Alaska","BRFSS","Reproductive Health","Timeliness of routine health care checkup among women aged 18-44 years",NA,"%","CrdPrev","Crude Prevalence","",NA,"****","Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%",NA,NA,"Race/Ethnicity","Multiracial, non-Hispanic",NA,NA,NA,NA,"(64.84507995700051, -147.72205903599973)","RPH","RPH1_0",NA,"02","RACE","MRC",NA,NA,NA,NA
2013,2013,"AK","Alaska","BRFSS","Reproductive Health","Timeliness of routine health care checkup among women aged 18-44 years",NA,"%","CrdPrev","Crude Prevalence","55.2",55.2,"","",50.5,59.9,"Overall","Overall",NA,NA,NA,NA,"(64.84507995700051, -147.72205903599973)","RPH","RPH1_0",NA,"02","OVERALL","OVR",NA,NA,NA,NA
2013,2013,"AK","Alaska","BRFSS","Reproductive Health","Timeliness of routine health care checkup among women aged 18-44 years",NA,"%","CrdPrev","Crude Prevalence","52",52,"","",48.1,55.9,"Race/Ethnicity","White, non-Hispanic",NA,NA,NA,NA,"(64.84507995700051, -147.72205903599973)","RPH","RPH1_0",NA,"02","RACE","WHT",NA,NA,NA,NA
2013,2013,"AK","Alaska","BRFSS","Reproductive Health","Timeliness of routine health care checkup among women aged 18-44 years",NA,"%","CrdPrev","Crude Prevalence","",NA,"****","Sample size of denominator and/or age group for age-standardization is less than 50 or relative standard error is more than 30%",NA,NA,"Race/Ethnicity","Black, non-Hispanic",NA,NA,NA,NA,"(64.84507995700051, -147.72205903599973)","RPH","RPH1_0",NA,"02","RACE","BLK",NA,NA,NA,NA
2013,2013,"AK","Alaska","BRFSS","Reproductive Health","Timeliness of routine health care checkup among women aged 18-44 years",NA,"%","CrdPrev","Crude Prevalence","49.2",49.2,"","",36.1,62.3,"Race/Ethnicity","Hispanic",NA,NA,NA,NA,"(64.84507995700051, -147.72205903599973)","RPH","RPH1_0",NA,"02","RACE","HIS",NA,NA,NA,NA
2013,2013,"AK","Alaska","BRFSS","Reproductive Health","Timeliness of routine health care checkup among women aged 18-44 years",NA,"%","CrdPrev","Crude Prevalence","46.4",46.4,"","",39,54,"Race/Ethnicity","Other, non-Hispanic",NA,NA,NA,NA,"(64.84507995700051, -147.72205903599973)","RPH","RPH1_0",NA,"02","RACE","OTH",NA,NA,NA,NA
2013,2013,"AK","Alaska","BRFSS","Reproductive Health","Timeliness of routine health care checkup among women aged 18-44 years",NA,"%","CrdPrev","Crude Prevalence","49.9",49.9,"","",36.9,62.9,"Race/Ethnicity","Multiracial, non-Hispanic",NA,NA,NA,NA,"(64.84507995700051, -147.72205903599973)","RPH","RPH1_0",NA,"02","RACE","MRC",NA,NA,NA,NA
2012,2012,"AK","Alaska","BRFSS","Reproductive Health","Timeliness of routine health care checkup among women aged 18-44 years",NA,"%","CrdPrev","Crude Prevalence","65.1",65.1,"","",60.9,69.2,"Overall","Overall",NA,NA,NA,NA,"(64.84507995700051, -147.72205903599973)","RPH","RPH1_0",NA,"02","OVERALL","OVR",NA,NA,NA,NA
2014,2014,"AL","Alabama","BRFSS","Reproductive Health","Timeliness of routine health care checkup among women aged 18-44 years",NA,"%","CrdPrev","Crude Prevalence","66.1",66.1,"","",62.5,69.5,"Overall","Overall",NA,NA,NA,NA,"(32.84057112200048, -86.63186076199969)","RPH","RPH1_0",NA,"01","OVERALL","OVR",NA,NA,NA,NA
2014,2014,"AL","Alabama","BRFSS","Reproductive Health","Timeliness of routine health care checkup among women aged 18-44 years",NA,"%","CrdPrev","Crude Prevalence","62.1",62.1,"","",57.4,66.6,"Race/Ethnicity","White, non-Hispanic",NA,NA,NA,NA,"(32.84057112200048, -86.63186076199969)","RPH","RPH1_0",NA,"01","RACE","WHT",NA,NA,NA,NA
2014,2014,"AL","Alabama","BRFSS","Reproductive Health","Timeliness of routine health care checkup among women aged 18-44 years",NA,"%","CrdPrev","Crude Prevalence","74.4",74.4,"","",68.4,79.7,"Race/Ethnicity","Black, non-Hispanic",NA,NA,NA,NA,"(32.84057112200048, -86.63186076199969)","RPH","RPH1_0",NA,"01","RACE","BLK",NA,NA,NA,NA
