"YearStart","YearEnd","LocationAbbr","LocationDesc","DataSource","Topic","Question","Response","DataValueUnit","DataValueTypeID","DataValueType","DataValue","DataValueAlt","DataValueFootnoteSymbol","DatavalueFootnote","LowConfidenceLimit","HighConfidenceLimit","StratificationCategory1","Stratification1","StratificationCategory2","Stratification2","StratificationCategory3","Stratification3","GeoLocation","TopicID","QuestionID","ResponseID","LocationID","StratificationCategoryID1","StratificationID1","StratificationCategoryID2","StratificationID2","StratificationCategoryID3","StratificationID3"
2013,2013,"GU","Guam","STATE","Tobacco","Sale of cigarette packs",NA,"pack sales","Nmbr","Number","",NA,"-","No data available",NA,NA,"Overall","Overall",NA,NA,NA,NA,"(13.444304, 144.793731)","TOB","TOB10_0",NA,"66","OVERALL","OVR",NA,NA,NA,NA
2013,2013,"HI","Hawaii","STATE","Tobacco","Sale of cigarette packs",NA,"pack sales","Nmbr","Number","27",27,"","",NA,NA,"Overall","Overall",NA,NA,NA,NA,"(21.304850435000446, -157.85774940299973)","TOB","TOB10_0",NA,"15","OVERALL","OVR",NA,NA,NA,NA
2013,2013,"IA","Iowa","STATE","Tobacco","Sale of cigarette packs",NA,"pack sales","Nmbr","Number","48.5",48.5,"","",NA,NA,"Overall","Overall",NA,NA,NA,NA,"(42.46940091300047, -93.81649055599968)","TOB","TOB10_0",NA,"19","OVERALL","OVR",NA,NA,NA,NA
2013,2013,"ID","Idaho","STATE","Tobacco","Sale of cigarette packs",NA,"pack sales","Nmbr","Number","43.1",43.1,"","",NA,NA,"Overall","Overall",NA,NA,NA,NA,"(43.682630005000476, -114.3637300419997)","TOB","TOB10_0",NA,"16","OVERALL","OVR",NA,NA,NA,NA
2013,2013,"IL","Illinois","STATE","Tobacco","Sale of cigarette packs",NA,"pack sales","Nmbr","Number","31.7",31.7,"","",NA,NA,"Overall","Overall",NA,NA,NA,NA,"(40.48501028300046, -88.99771017799969)","TOB","TOB10_0",NA,"17","OVERALL","OVR",NA,NA,NA,NA
2013,2013,"IN","Indiana","STATE","Tobacco","Sale of cigarette packs",NA,"pack sales","Nmbr","Number","66.9",66.9,"","",NA,NA,"Overall","Overall",NA,NA,NA,NA,"(39.766910452000445, -86.14996019399968)","TOB","TOB10_0",NA,"18","OVERALL","OVR",NA,NA,NA,NA
2013,2013,"KS","Kansas","STATE","Tobacco","Sale of cigarette packs",NA,"pack sales","Nmbr","Number","41",41,"","",NA,NA,"Overall","Overall",NA,NA,NA,NA,"(38.34774030000045, -98.20078122699965)","TOB","TOB10_0",NA,"20","OVERALL","OVR",NA,NA,NA,NA
2013,2013,"KY","Kentucky","STATE","Tobacco","Sale of cigarette packs",NA,"pack sales","Nmbr","Number","93.5",93.5,"","",NA,NA,"Overall","Overall",NA,NA,NA,NA,"(31.31266064400046, -92.44568007099969)","TOB","TOB10_0",NA,"21","OVERALL","OVR",NA,NA,NA,NA
2013,2013,"LA","Louisiana","STATE","Tobacco","Sale of cigarette packs",NA,"pack sales","Nmbr","Number","73.3",73.3,"","",NA,NA,"Overall","Overall",NA,NA,NA,NA,"(31.31266064400046, -92.44568007099969)","TOB","TOB10_0",NA,"22","OVERALL","OVR",NA,NA,NA,NA
2013,2013,"MA","Massachusetts","STATE","Tobacco","Sale of cigarette packs",NA,"pack sales","Nmbr","Number","32.2",32.2,"","",NA,NA,"Overall","Overall",NA,NA,NA,NA,"(42.27687047000046, -72.08269067499964)","TOB","TOB10_0",NA,"25","OVERALL","OVR",NA,NA,NA,NA
